Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Customer_Status_Predicted
11751-TAM,Female,18,No,Tamil Nadu,5,7,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,24.29999923706055,38.45000076293945,0.0,0,0.0,38.45000076293945,Joined,Others,Others,1
12056-WES,Male,27,No,West Bengal,2,20,,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,90.4000015258789,268.4500122070312,0.0,0,94.44000244140625,362.8900146484375,Joined,Others,Others,1
12136-RAJ,Female,25,Yes,Rajasthan,2,35,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.89999961853027,19.89999961853027,0.0,0,11.82999992370605,31.72999954223633,Joined,Others,Others,1
12257-ASS,Female,39,No,Assam,9,1,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.54999923706055,19.54999923706055,0.0,0,10.19999980926514,29.75,Joined,Others,Others,1
12340-DEL,Female,51,Yes,Delhi,0,10,,Yes,No,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,62.79999923706055,62.79999923706055,0.0,0,42.18999862670898,104.9899978637695,Joined,Others,Others,1
12469-AND,Male,24,Yes,Andhra Pradesh,11,4,,Yes,No,Yes,DSL,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,55.29999923706055,55.29999923706055,0.0,0,36.68999862670898,91.98999786376953,Joined,Others,Others,1
12490-TEL,Female,52,No,Telangana,9,6,,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.75,238.1000061035156,38.84000015258789,0,37.5,236.7599945068359,Joined,Others,Others,1
13058-MAD,Female,58,No,Madhya Pradesh,13,22,,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,46.09999847412109,130.1499938964844,0.0,0,7.980000019073486,138.1300048828125,Joined,Others,Others,1
13123-BIH,Female,46,No,Bihar,13,18,Deal 5,Yes,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,100.1999969482422,198.5,0.0,10,45.11999893188477,253.6199951171875,Joined,Others,Others,1
13666-UTT,Male,57,Yes,Uttarakhand,15,16,,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,95.4000015258789,293.1499938964844,0.0,0,51.02999877929688,344.1799926757812,Joined,Others,Others,1
13744-AND,Female,41,Yes,Andhra Pradesh,8,3,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.64999961853027,19.64999961853027,0.0,0,13.85000038146973,33.5,Joined,Others,Others,1
13823-TEL,Female,31,Yes,Telangana,1,28,Deal 5,No,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.5,46.40000152587891,0.0,0,0.0,46.40000152587891,Joined,Others,Others,1
13946-HAR,Female,41,Yes,Haryana,1,3,Deal 5,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.64999961853027,19.64999961853027,0.0,0,23.67000007629395,43.31999969482422,Joined,Others,Others,1
14567-TAM,Male,43,No,Tamil Nadu,1,9,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35000038146973,20.35000038146973,0.0,0,44.09000015258789,64.44000244140625,Joined,Others,Others,1
15349-UTT,Male,47,Yes,Uttar Pradesh,9,12,Deal 5,Yes,Yes,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.15000152587891,50.15000152587891,0.0,0,39.86999893188477,90.0199966430664,Joined,Others,Others,1
15591-KAR,Female,26,No,Karnataka,3,31,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.39999961853027,20.39999961853027,0.0,0,45.90999984741211,66.30999755859375,Joined,Others,Others,1
15803-UTT,Female,34,No,Uttar Pradesh,6,31,,Yes,No,No,,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.14999961853027,19.14999961853027,0.0,0,22.3700008392334,41.52000045776367,Joined,Others,Others,1
